Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status
7001429,SG,Buddy Hield,Atlanta Hawks,Milwaukee Bucks,6000,15.38,13.42,
7001429,SF,Buddy Hield,Atlanta Hawks,Milwaukee Bucks,6000,15.38,13.42,
7001437,SF,Derrick Jones,LA Clippers,Indiana Pacers,9140,20.19,22.25,EXPECTED STARTER
7001437,PF,Derrick Jones,LA Clippers,Indiana Pacers,9140,20.19,22.25,EXPECTED STARTER
7001441,C,Ivica Zubac,Indiana Pacers,LA Clippers,12870,33.87,30.33,OUT
7001447,SF,Taurean Prince,Milwaukee Bucks,Atlanta Hawks,6000,12.09,7,OUT
7001447,PF,Taurean Prince,Milwaukee Bucks,Atlanta Hawks,6000,12.09,7,OUT
7001500,SG,Derrick White,Boston Celtics,Charlotte Hornets,15660,37.31,39.5,EXPECTED STARTER
7001500,PG,Derrick White,Boston Celtics,Charlotte Hornets,15660,37.31,39.5,EXPECTED STARTER
7001512,SG,Bogdan Bogdanovic,LA Clippers,Indiana Pacers,6310,16.6,9.42,
7001512,SF,Bogdan Bogdanovic,LA Clippers,Indiana Pacers,6310,16.6,9.42,
7001534,PF,Kyle Kuzma,Milwaukee Bucks,Atlanta Hawks,9370,24.67,26.25,
7001534,SF,Kyle Kuzma,Milwaukee Bucks,Atlanta Hawks,9370,24.67,26.25,
7001539,SG,Alex Caruso,Oklahoma City Thunder,New York Knicks,6460,16.4,17.25,
7001539,PG,Alex Caruso,Oklahoma City Thunder,New York Knicks,6460,16.4,17.25,
7001550,SF,Josh Hart,New York Knicks,Oklahoma City Thunder,12220,32.17,35.67,EXPECTED STARTER
7001550,PF,Josh Hart,New York Knicks,Oklahoma City Thunder,12220,32.17,35.67,EXPECTED STARTER
7001561,PF,John Collins,LA Clippers,Indiana Pacers,10070,25.01,28.17,OUT
7001561,C,John Collins,LA Clippers,Indiana Pacers,10070,25.01,28.17,OUT
7001575,PF,Lauri Markkanen,Utah Jazz,Philadelphia 76ers,16080,42.32,34.5,OUT
7001575,SF,Lauri Markkanen,Utah Jazz,Philadelphia 76ers,16080,42.32,34.5,OUT
7001585,PF,Jayson Tatum,Boston Celtics,Charlotte Hornets,14760,0,0,OUT
7001594,PF,OG Anunoby,New York Knicks,Oklahoma City Thunder,11920,30.9,27.92,EXPECTED STARTER
7001594,SF,OG Anunoby,New York Knicks,Oklahoma City Thunder,11920,30.9,27.92,EXPECTED STARTER
7022297,C,Jaren Jackson,Utah Jazz,Philadelphia 76ers,15150,34.3,35.83,OUT
7022297,PF,Jaren Jackson,Utah Jazz,Philadelphia 76ers,15150,34.3,35.83,OUT
7022309,SG,Gary Trent,Milwaukee Bucks,Atlanta Hawks,6000,12.85,4.42,
7022309,SF,Gary Trent,Milwaukee Bucks,Atlanta Hawks,6000,12.85,4.42,
7022321,SF,Svi Mykhailiuk,Utah Jazz,Philadelphia 76ers,7680,16.71,17.58,
7022322,SF,Miles Bridges,Charlotte Hornets,Boston Celtics,12620,33.2,27.17,EXPECTED STARTER
7022322,PF,Miles Bridges,Charlotte Hornets,Boston Celtics,12620,33.2,27.17,EXPECTED STARTER
7022332,PG,Jalen Brunson,New York Knicks,Oklahoma City Thunder,15650,40.67,43.08,EXPECTED STARTER
7022333,SG,Landry Shamet,New York Knicks,Oklahoma City Thunder,7190,16.84,19.92,
7022335,SF,Mikal Bridges,New York Knicks,Oklahoma City Thunder,12110,31.86,31.42,EXPECTED STARTER
7022335,SG,Mikal Bridges,New York Knicks,Oklahoma City Thunder,12110,31.86,31.42,EXPECTED STARTER
7022345,C,Robert Williams,Portland Trail Blazers,Memphis Grizzlies,8000,20.27,26.58,
7022347,C,Mitchell Robinson,New York Knicks,Oklahoma City Thunder,7940,20.89,15.17,OUT
7022352,PG,Shai Gilgeous-Alexander,Oklahoma City Thunder,New York Knicks,19590,51.19,51,EXPECTED STARTER
7022353,C,Mo Bamba,Utah Jazz,Philadelphia 76ers,6000,2.25,2.25,
7022376,PF,Kenrich Williams,Oklahoma City Thunder,New York Knicks,6000,14.34,8.58,
7022376,SF,Kenrich Williams,Oklahoma City Thunder,New York Knicks,6000,14.34,8.58,
7022379,C,Isaiah Hartenstein,Oklahoma City Thunder,New York Knicks,11620,30.59,29,EXPECTED STARTER
7022447,PG,Gabe Vincent,Atlanta Hawks,Milwaukee Bucks,6000,9.8,12.33,
7022447,SG,Gabe Vincent,Atlanta Hawks,Milwaukee Bucks,6000,9.8,12.33,
7022498,SG,Ty Jerome,Memphis Grizzlies,Portland Trail Blazers,12840,33.78,31.92,DOUBTFUL TO PLAY
7022498,PG,Ty Jerome,Memphis Grizzlies,Portland Trail Blazers,12840,33.78,31.92,DOUBTFUL TO PLAY
7022504,PG,Darius Garland,LA Clippers,Indiana Pacers,13020,32.67,33.42,EXPECTED STARTER
7022506,PG,Coby White,Charlotte Hornets,Boston Celtics,11670,30.7,21.92,
7022522,PF,Grant Williams,Charlotte Hornets,Boston Celtics,8040,17.1,17.58,OUT
7022522,C,Grant Williams,Charlotte Hornets,Boston Celtics,8040,17.1,17.58,OUT
7022523,SG,Matisse Thybulle,Portland Trail Blazers,Memphis Grizzlies,6000,14.08,17.75,
7022523,SF,Matisse Thybulle,Portland Trail Blazers,Memphis Grizzlies,6000,14.08,17.75,
7022532,PG,Ja Morant,Memphis Grizzlies,Portland Trail Blazers,16720,37.51,48.33,OUT
7022538,SG,Kevin Porter,Milwaukee Bucks,Atlanta Hawks,15180,39.96,28,OUT
7022538,PG,Kevin Porter,Milwaukee Bucks,Atlanta Hawks,15180,39.96,28,OUT
7022540,SG,Nickeil Alexander-Walker,Atlanta Hawks,Milwaukee Bucks,12870,33.87,30.92,EXPECTED STARTER
7022540,PG,Nickeil Alexander-Walker,Atlanta Hawks,Milwaukee Bucks,12870,33.87,30.92,EXPECTED STARTER
7022549,C,Brandon Clarke,Memphis Grizzlies,Portland Trail Blazers,6000,10.5,10.5,OUT
7022569,SF,Luguentz Dort,Oklahoma City Thunder,New York Knicks,7600,18.5,14.25,EXPECTED STARTER
7022571,SG,John Konchar,Utah Jazz,Philadelphia 76ers,7850,13.14,16.42,
7022571,SF,John Konchar,Utah Jazz,Philadelphia 76ers,7850,13.14,16.42,
7022675,PG,Payton Pritchard,Boston Celtics,Charlotte Hornets,13300,32.89,30.25,
7022677,SF,Aaron Nesmith,Indiana Pacers,LA Clippers,9530,25.08,14.58,"EXPECTED STARTER, QUESTIONABLE TO PLAY"
7022680,SG,Isaiah Joe,Oklahoma City Thunder,New York Knicks,9860,19.29,23.42,
7022681,PG,Tyrese Maxey,Philadelphia 76ers,Utah Jazz,21040,48.63,52.25,EXPECTED STARTER
7022686,PF,Obi Toppin,Indiana Pacers,LA Clippers,8250,21.7,15.83,PROBABLE TO PLAY
7022686,C,Obi Toppin,Indiana Pacers,LA Clippers,8250,21.7,15.83,PROBABLE TO PLAY
7022691,C,Onyeka Okongwu,Atlanta Hawks,Milwaukee Bucks,14030,35.58,42.92,EXPECTED STARTER
7022701,PF,Josh Green,Charlotte Hornets,Boston Celtics,6050,10.91,11.17,
7022701,SF,Josh Green,Charlotte Hornets,Boston Celtics,6050,10.91,11.17,
7022704,PG,Tyrese Haliburton,Indiana Pacers,LA Clippers,6000,0,0,OUT
7022706,C,Xavier Tillman,Charlotte Hornets,Boston Celtics,6000,4.5,2.17,
7022743,PG,LaMelo Ball,Charlotte Hornets,Boston Celtics,15930,39.67,41.42,EXPECTED STARTER
7022744,SF,Deni Avdija,Portland Trail Blazers,Memphis Grizzlies,16740,44.06,15.42,"EXPECTED STARTER, QUESTIONABLE TO PLAY"
7022744,PG,Deni Avdija,Portland Trail Blazers,Memphis Grizzlies,16740,44.06,15.42,"EXPECTED STARTER, QUESTIONABLE TO PLAY"
7022745,SG,Vit Krejci,Portland Trail Blazers,Memphis Grizzlies,6410,16.88,18.5,
7022745,SF,Vit Krejci,Portland Trail Blazers,Memphis Grizzlies,6410,16.88,18.5,
7022800,SG,Cam Thomas,Milwaukee Bucks,Atlanta Hawks,8100,21.32,13.42,
7022800,PG,Cam Thomas,Milwaukee Bucks,Atlanta Hawks,8100,21.32,13.42,
7022805,PG,Miles McBride,New York Knicks,Oklahoma City Thunder,10280,23.31,22.75,OUT
7022805,SG,Miles McBride,New York Knicks,Oklahoma City Thunder,10280,23.31,22.75,OUT
7022806,C,Jericho Sims,Milwaukee Bucks,Atlanta Hawks,7240,11.89,14.08,
7022806,PF,Jericho Sims,Milwaukee Bucks,Atlanta Hawks,7240,11.89,14.08,
7022807,SG,Quentin Grimes,Philadelphia 76ers,Utah Jazz,10030,24.68,10.25,EXPECTED STARTER
7022807,PG,Quentin Grimes,Philadelphia 76ers,Utah Jazz,10030,24.68,10.25,EXPECTED STARTER
7022813,C,Luka Garza,Boston Celtics,Charlotte Hornets,6000,15.41,11.75,
7022817,C,Isaiah Jackson,LA Clippers,Indiana Pacers,6160,16.21,4.58,
7022823,PF,Jalen Johnson,Atlanta Hawks,Milwaukee Bucks,18870,49.67,30.58,EXPECTED STARTER
7022829,SF,Corey Kispert,Atlanta Hawks,Milwaukee Bucks,7240,16.95,25.92,
